version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.0010818470000231173,1.8030783333718622e-05,True,1,1,1,1,build_benchmark/secuencial_N5
openmp,5,1,1,0.0009842299987212755,1.6403833312021256e-05,True,1,1,1,1,build_benchmark/openmp_N5
openmp,5,2,1,0.0012844120010413462,2.1406866684022436e-05,True,1,1,1,1,build_benchmark/openmp_N5
openmp,5,4,1,0.0014118790004431503,2.3531316674052506e-05,True,1,1,1,1,build_benchmark/openmp_N5
openmp,5,8,1,0.0015747159995953552,2.6245266659922588e-05,True,1,1,1,1,build_benchmark/openmp_N5
openmp,5,16,1,0.0013465310003084596,2.244218333847433e-05,True,1,1,1,1,build_benchmark/openmp_N5
secuencial,6,1,1,0.0014798390002397355,2.4663983337328923e-05,True,8,23,3,2,build_benchmark/secuencial_N6
openmp,6,1,1,0.0021064249995106366,3.510708332517728e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,2,1,0.00148702200021944,2.4783700003657334e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,4,1,0.0014497989996016258,2.4163316660027097e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,8,1,0.006692164999549277,0.00011153608332582128,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,16,1,0.003408117001526989,5.6801950025449816e-05,True,8,23,3,2,build_benchmark/openmp_N6
secuencial,7,1,1,0.0011366109993105056,1.8943516655175092e-05,True,12,67,3,20,build_benchmark/secuencial_N7
openmp,7,1,1,0.0009676989993749885,1.6128316656249807e-05,True,12,67,3,20,build_benchmark/openmp_N7
openmp,7,2,1,0.0008906690000003437,1.4844483333339061e-05,True,12,67,3,20,build_benchmark/openmp_N7
openmp,7,4,1,0.000989029000265873,1.6483816671097885e-05,True,12,67,3,20,build_benchmark/openmp_N7
openmp,7,8,1,0.0044195120008225786,7.365853334704298e-05,True,12,67,3,20,build_benchmark/openmp_N7
openmp,7,16,1,0.0021766680001746863,3.6277800002911435e-05,True,12,67,3,20,build_benchmark/openmp_N7
secuencial,8,1,1,0.0009237959984602639,1.5396599974337732e-05,True,16,169,4,11,build_benchmark/secuencial_N8
openmp,8,1,1,0.0008977849993243581,1.4963083322072634e-05,True,16,169,4,11,build_benchmark/openmp_N8
openmp,8,2,1,0.001017243999740458,1.695406666234097e-05,True,16,169,4,11,build_benchmark/openmp_N8
openmp,8,4,1,0.0010096990008605644,1.6828316681009407e-05,True,16,169,4,11,build_benchmark/openmp_N8
openmp,8,8,1,0.0012829130009777145,2.1381883349628576e-05,True,16,169,4,11,build_benchmark/openmp_N8
openmp,8,16,1,0.001337083000180428,2.22847166696738e-05,True,16,169,4,11,build_benchmark/openmp_N8
secuencial,9,1,1,0.0011184290015080478,1.8640483358467463e-05,True,20,407,4,76,build_benchmark/secuencial_N9
openmp,9,1,1,0.001111600999138318,1.8526683318971968e-05,True,20,407,4,76,build_benchmark/openmp_N9
openmp,9,2,1,0.0010727230001066346,1.787871666844391e-05,True,20,407,4,76,build_benchmark/openmp_N9
openmp,9,4,1,0.0010711810009524925,1.785301668254154e-05,True,20,407,4,76,build_benchmark/openmp_N9
openmp,9,8,1,0.001292523000302026,2.1542050005033766e-05,True,20,407,4,76,build_benchmark/openmp_N9
openmp,9,16,1,0.0022377019995474257,3.7295033325790425e-05,True,20,407,4,76,build_benchmark/openmp_N9
secuencial,10,1,1,0.0010126830002263887,1.6878050003773146e-05,True,25,1274,5,55,build_benchmark/secuencial_N10
openmp,10,1,1,0.0010121429986611474,1.6869049977685792e-05,True,25,1274,5,55,build_benchmark/openmp_N10
openmp,10,2,1,0.0008877769996615825,1.4796283327693042e-05,True,25,1274,5,55,build_benchmark/openmp_N10
openmp,10,4,1,0.0010046930001408327,1.6744883335680546e-05,True,25,1274,5,55,build_benchmark/openmp_N10
openmp,10,8,1,0.0011814560002676444,1.9690933337794075e-05,True,25,1274,5,55,build_benchmark/openmp_N10
openmp,10,16,1,0.0016343719998985762,2.7239533331642936e-05,True,25,1274,5,55,build_benchmark/openmp_N10
secuencial,11,1,1,0.0017448260005039629,2.9080433341732716e-05,True,29,3103,5,438,build_benchmark/secuencial_N11
openmp,11,1,1,0.001387353000609437,2.3122550010157285e-05,True,29,3103,5,438,build_benchmark/openmp_N11
openmp,11,2,1,0.0020288120012992295,3.381353335498716e-05,True,29,3103,5,438,build_benchmark/openmp_N11
openmp,11,4,1,0.0016602380001131678,2.7670633335219465e-05,True,29,3103,5,438,build_benchmark/openmp_N11
openmp,11,8,1,0.0018054219999612542,3.0090366666020905e-05,True,29,3103,5,438,build_benchmark/openmp_N11
openmp,11,16,1,0.001787945999240037,2.979909998733395e-05,True,29,3103,5,438,build_benchmark/openmp_N11
secuencial,12,1,1,0.001953196999238571,3.255328332064285e-05,True,34,8310,6,198,build_benchmark/secuencial_N12
openmp,12,1,1,0.0016636910004308447,2.772818334051408e-05,True,34,8310,6,198,build_benchmark/openmp_N12
openmp,12,2,1,0.002045417999397614,3.4090299989960235e-05,True,34,8310,6,198,build_benchmark/openmp_N12
openmp,12,4,1,0.0018807500000548316,3.1345833334247195e-05,True,34,8310,6,198,build_benchmark/openmp_N12
openmp,12,8,1,0.0020457139999052742,3.409523333175457e-05,True,34,8310,6,198,build_benchmark/openmp_N12
openmp,12,16,1,0.0023855569997977,3.975928332996167e-05,True,34,8310,6,198,build_benchmark/openmp_N12
