version,N,nucleos,tiempo_promedio_segundos,tiempo_minimo_segundos,tiempo_maximo_segundos,tiempo_base_secuencial,speedup,eficiencia
openmp,5,1,0.0009842299987212755,0.0009842299987212755,0.0009842299987212755,0.0010818470000231173,1.0991810871733916,1.0991810871733916
openmp,5,2,0.0012844120010413462,0.0012844120010413462,0.0012844120010413462,0.0010818470000231173,0.8422897007704709,0.42114485038523547
openmp,5,4,0.0014118790004431503,0.0014118790004431503,0.0014118790004431503,0.0010818470000231173,0.7662462574225943,0.19156156435564858
openmp,5,8,0.0015747159995953552,0.0015747159995953552,0.0015747159995953552,0.0010818470000231173,0.6870108643724409,0.0858763580465551
openmp,5,16,0.0013465310003084596,0.0013465310003084596,0.0013465310003084596,0.0010818470000231173,0.8034326723820623,0.05021454202387889
openmp,6,1,0.0021064249995106366,0.0021064249995106366,0.0021064249995106366,0.0014798390002397355,0.7025358133251983,0.7025358133251983
openmp,6,2,0.00148702200021944,0.00148702200021944,0.00148702200021944,0.0014798390002397355,0.9951695402094625,0.49758477010473123
openmp,6,4,0.0014497989996016258,0.0014497989996016258,0.0014497989996016258,0.0014798390002397355,1.0207201140615796,0.2551800285153949
openmp,6,8,0.006692164999549277,0.006692164999549277,0.006692164999549277,0.0014798390002397355,0.22113008276684806,0.027641260345856008
openmp,6,16,0.003408117001526989,0.003408117001526989,0.003408117001526989,0.0014798390002397355,0.4342101516986363,0.02713813448116477
openmp,7,1,0.0009676989993749885,0.0009676989993749885,0.0009676989993749885,0.0011366109993105056,1.1745501442541668,1.1745501442541668
openmp,7,2,0.0008906690000003437,0.0008906690000003437,0.0008906690000003437,0.0011366109993105056,1.2761317608562406,0.6380658804281203
openmp,7,4,0.000989029000265873,0.000989029000265873,0.000989029000265873,0.0011366109993105056,1.1492190815486292,0.2873047703871573
openmp,7,8,0.0044195120008225786,0.0044195120008225786,0.0044195120008225786,0.0011366109993105056,0.25718020430738836,0.032147525538423545
openmp,7,16,0.0021766680001746863,0.0021766680001746863,0.0021766680001746863,0.0011366109993105056,0.5221793122420544,0.0326362070151284
openmp,8,1,0.0008977849993243581,0.0008977849993243581,0.0008977849993243581,0.0009237959984602639,1.028972414504008,1.028972414504008
openmp,8,2,0.001017243999740458,0.001017243999740458,0.001017243999740458,0.0009237959984602639,0.9081360997911645,0.45406804989558225
openmp,8,4,0.0010096990008605644,0.0010096990008605644,0.0010096990008605644,0.0009237959984602639,0.9149221675696564,0.2287305418924141
openmp,8,8,0.0012829130009777145,0.0012829130009777145,0.0012829130009777145,0.0009237959984602639,0.72007688577186,0.0900096107214825
openmp,8,16,0.001337083000180428,0.001337083000180428,0.001337083000180428,0.0009237959984602639,0.6909040039665493,0.04318150024790933
openmp,9,1,0.001111600999138318,0.001111600999138318,0.001111600999138318,0.0011184290015080478,1.0061424939119545,1.0061424939119545
openmp,9,2,0.0010727230001066346,0.0010727230001066346,0.0010727230001066346,0.0011184290015080478,1.0426074591454362,0.5213037295727181
openmp,9,4,0.0010711810009524925,0.0010711810009524925,0.0010711810009524925,0.0011184290015080478,1.044108325776449,0.26102708144411224
openmp,9,8,0.001292523000302026,0.001292523000302026,0.001292523000302026,0.0011184290015080478,0.8653068465680708,0.10816335582100885
openmp,9,16,0.0022377019995474257,0.0022377019995474257,0.0022377019995474257,0.0011184290015080478,0.49981141444850546,0.03123821340303159
openmp,10,1,0.0010121429986611474,0.0010121429986611474,0.0010121429986611474,0.0010126830002263887,1.0005335229962125,1.0005335229962125
openmp,10,2,0.0008877769996615825,0.0008877769996615825,0.0008877769996615825,0.0010126830002263887,1.1406952428508734,0.5703476214254367
